No	actual	full	full_vals	tflite	tflite_opt	tflite_opt_rep	tflite_int
0	1.0	1	0.5124833583831787	1	0	1	1
1	0.0	0	0.4808361530303955	0	0	0	0
2	1.0	1	0.5662083625793457	1	0	1	1
3	0.0	0	0.4582518935203552	0	0	0	0
4	0.0	0	0.1767641007900238	0	0	0	0
5	0.0	1	0.694922924041748	1	0	1	1
6	0.0	1	0.6041075587272644	1	0	1	1
7	1.0	1	0.7768253087997437	1	0	1	1
8	0.0	1	0.5308908820152283	1	0	1	1
9	0.0	0	0.17865446209907532	0	0	0	0
10	0.0	0	0.3107948899269104	0	0	0	0
11	0.0	0	0.1869063377380371	0	0	0	0
12	0.0	0	0.24768877029418945	0	0	0	0
13	0.0	1	0.7530547976493835	1	0	1	1
14	0.0	1	0.5622939467430115	1	0	1	1
15	0.0	0	0.25883108377456665	0	0	0	0
16	1.0	1	0.6477904915809631	1	0	1	1
17	1.0	0	0.37335360050201416	0	0	0	0
18	1.0	0	0.4683224558830261	0	0	0	0
19	0.0	0	0.4744448661804199	0	0	0	0
20	1.0	1	0.6332860589027405	1	0	1	1
21	1.0	1	0.862820029258728	1	0	1	1
22	0.0	1	0.6931761503219604	1	0	1	1
23	1.0	1	0.6174827218055725	1	0	1	1
24	0.0	0	0.49871379137039185	0	0	0	0
25	0.0	0	0.2564886808395386	0	0	0	0
26	0.0	0	0.17867150902748108	0	0	0	0
27	0.0	1	0.6792842149734497	1	0	1	1
28	1.0	1	0.6943286657333374	1	0	1	1
29	0.0	1	0.5526877045631409	1	0	1	1
30	0.0	0	0.1983439028263092	0	0	0	0
31	1.0	1	0.539659857749939	1	0	1	1
32	0.0	0	0.21015262603759766	0	0	0	0
33	0.0	0	0.45639678835868835	0	0	0	0
34	1.0	1	0.6018263697624207	1	0	1	1
35	1.0	1	0.8923482298851013	1	0	1	1
36	1.0	1	0.6699590682983398	1	0	1	1
37	0.0	1	0.5907883644104004	1	0	1	1
38	0.0	0	0.18756186962127686	0	0	0	0
39	0.0	0	0.37953585386276245	0	0	0	0
40	1.0	1	0.937143087387085	1	0	1	1
41	0.0	0	0.19562706351280212	0	0	0	0
42	0.0	0	0.31446677446365356	0	0	0	0
43	0.0	1	0.7368728518486023	1	0	1	1
44	0.0	0	0.18901214003562927	0	0	0	0
45	0.0	1	0.5315306186676025	1	0	1	1
46	0.0	1	0.8346338272094727	1	0	1	1
47	1.0	1	0.7101918458938599	1	0	1	1
48	0.0	1	0.6254851222038269	1	0	1	1
49	0.0	1	0.5592409372329712	1	0	1	1
50	1.0	1	0.8165435791015625	1	0	1	1
51	0.0	1	0.5111427903175354	1	0	1	1
52	0.0	1	0.5374755263328552	1	0	1	1
53	0.0	0	0.1879768967628479	0	0	0	0
54	0.0	1	0.6163763403892517	1	0	1	1
55	1.0	1	0.8743333220481873	1	0	1	1
56	0.0	1	0.6426552534103394	1	0	1	1
57	0.0	0	0.49935513734817505	1	0	1	1
58	0.0	1	0.594707190990448	1	0	1	1
59	1.0	1	0.7739303112030029	1	0	1	1
60	0.0	1	0.7968357801437378	1	0	1	1
61	0.0	0	0.23792564868927002	0	0	0	0
62	0.0	0	0.3733876943588257	0	0	0	0
63	0.0	1	0.8570734262466431	1	0	1	1
64	1.0	0	0.3271675407886505	0	0	0	0
65	0.0	1	0.7917252779006958	1	0	1	1
66	0.0	1	0.5159074068069458	1	0	1	1
67	0.0	0	0.2020074725151062	0	0	0	0
68	1.0	1	0.7042909860610962	1	0	1	1
69	0.0	0	0.4645640254020691	0	0	0	0
70	0.0	0	0.47245725989341736	0	0	0	0
71	0.0	1	0.7083834409713745	1	0	1	1
72	0.0	0	0.4801724851131439	0	0	0	0
73	1.0	1	0.744136393070221	1	0	1	1
74	1.0	0	0.4546765983104706	0	0	0	0
75	1.0	1	0.7995964288711548	1	0	1	1
76	0.0	0	0.19946184754371643	0	0	0	0
77	0.0	1	0.8299326300621033	1	0	1	1
78	1.0	1	0.7337429523468018	1	0	1	1
79	0.0	0	0.24371719360351562	0	0	0	0
80	1.0	1	0.885606050491333	1	0	1	1
81	1.0	1	0.541279137134552	1	0	1	1
82	1.0	1	0.7210038900375366	1	0	1	1
83	0.0	1	0.6282864809036255	1	0	1	1
84	0.0	1	0.6762644052505493	1	0	1	1
85	0.0	1	0.8148012161254883	1	0	1	1
86	1.0	1	0.7345478534698486	1	0	1	1
87	1.0	1	0.7516317963600159	1	0	1	1
88	0.0	0	0.42992085218429565	0	0	0	0
89	1.0	1	0.5669875741004944	1	0	1	1
90	0.0	0	0.17865446209907532	0	0	0	0
91	1.0	0	0.26671087741851807	0	0	0	0
92	1.0	0	0.31247690320014954	0	0	0	0
93	1.0	0	0.32339775562286377	0	0	0	0
94	0.0	1	0.6653016805648804	1	0	1	1
95	0.0	0	0.32098668813705444	0	0	0	0
96	0.0	0	0.4041365087032318	0	0	0	0
97	1.0	1	0.5817766785621643	1	0	1	1
98	1.0	1	0.7617279291152954	1	0	1	1
99	0.0	0	0.19156309962272644	0	0	0	0
